x-axis,1,2,3
second,Volt,Volt,Volt
-53.800E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-53.700E-06,+723.618083E-03,-30.150753E-03,+37.085427E-03
-53.600E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-53.500E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-53.400E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-53.300E-06,+783.919590E-03,-30.150753E-03,+37.085427E-03
-53.200E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-53.100E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-53.000E-06,+763.819087E-03,-40.201005E-03,+37.085427E-03
-52.900E-06,+743.718585E-03,+0.0E+00,+36.482412E-03
-52.800E-06,+804.020092E-03,-0.0E+00,+36.281407E-03
-52.700E-06,+743.718585E-03,-30.150753E-03,+36.281407E-03
-52.600E-06,+723.618083E-03,-20.100502E-03,+36.683417E-03
-52.500E-06,+804.020092E-03,-40.201005E-03,+36.884422E-03
-52.400E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-52.300E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-52.200E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-52.100E-06,+743.718585E-03,-10.050251E-03,+37.085427E-03
-52.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-51.900E-06,+743.718585E-03,-40.201005E-03,+36.281407E-03
-51.800E-06,+683.417078E-03,+0.0E+00,+36.683417E-03
-51.700E-06,+723.618083E-03,+0.0E+00,+36.884422E-03
-51.600E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-51.500E-06,+743.718585E-03,-40.201005E-03,+37.085427E-03
-51.400E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-51.300E-06,+783.919590E-03,+0.0E+00,+36.482412E-03
-51.200E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-51.100E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-51.000E-06,+763.819087E-03,+0.0E+00,+36.281407E-03
-50.900E-06,+723.618083E-03,-10.050251E-03,+37.688442E-03
-50.800E-06,+723.618083E-03,+0.0E+00,+37.889447E-03
-50.700E-06,+783.919590E-03,-40.201005E-03,+37.085427E-03
-50.600E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-50.500E-06,+743.718585E-03,-30.150753E-03,+36.884422E-03
-50.400E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-50.300E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-50.200E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-50.100E-06,+783.919590E-03,+0.0E+00,+36.281407E-03
-50.000E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-49.900E-06,+804.020092E-03,-10.050251E-03,+35.879397E-03
-49.800E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-49.700E-06,+783.919590E-03,-10.050251E-03,+37.085427E-03
-49.600E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-49.500E-06,+723.618083E-03,-30.150753E-03,+37.085427E-03
-49.400E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-49.300E-06,+804.020092E-03,+0.0E+00,+36.482412E-03
-49.200E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-49.100E-06,+723.618083E-03,-10.050251E-03,+36.884422E-03
-49.000E-06,+804.020092E-03,-20.100502E-03,+36.281407E-03
-48.900E-06,+783.919590E-03,+0.0E+00,+36.884422E-03
-48.800E-06,+723.618083E-03,-40.201005E-03,+35.477387E-03
-48.700E-06,+783.919590E-03,-10.050251E-03,+37.085427E-03
-48.600E-06,+763.819087E-03,+0.0E+00,+36.683417E-03
-48.500E-06,+743.718585E-03,-30.150753E-03,+37.085427E-03
-48.400E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-48.300E-06,+783.919590E-03,-40.201005E-03,+36.281407E-03
-48.200E-06,+804.020092E-03,+0.0E+00,+35.879397E-03
-48.100E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-48.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-47.900E-06,+743.718585E-03,-10.050251E-03,+36.884422E-03
-47.800E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-47.700E-06,+804.020092E-03,-30.150753E-03,+36.884422E-03
-47.600E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-47.500E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-47.400E-06,+804.020092E-03,+0.0E+00,+36.683417E-03
-47.300E-06,+723.618083E-03,-10.050251E-03,+36.884422E-03
-47.200E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-47.100E-06,+804.020092E-03,+0.0E+00,+36.884422E-03
-47.000E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-46.900E-06,+783.919590E-03,-30.150753E-03,+36.884422E-03
-46.800E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-46.700E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-46.600E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-46.500E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-46.400E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-46.300E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-46.200E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-46.100E-06,+743.718585E-03,-30.150753E-03,+36.884422E-03
-46.000E-06,+804.020092E-03,-0.0E+00,+36.281407E-03
-45.900E-06,+804.020092E-03,+0.0E+00,+36.080402E-03
-45.800E-06,+804.020092E-03,+0.0E+00,+35.879397E-03
-45.700E-06,+723.618083E-03,-40.201005E-03,+35.678392E-03
-45.600E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-45.500E-06,+804.020092E-03,-30.150753E-03,+36.884422E-03
-45.400E-06,+763.819087E-03,+0.0E+00,+37.085427E-03
-45.300E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-45.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-45.100E-06,+743.718585E-03,-30.150753E-03,+37.688442E-03
-45.000E-06,+804.020092E-03,-20.100502E-03,+37.085427E-03
-44.900E-06,+783.919590E-03,-30.150753E-03,+37.085427E-03
-44.800E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-44.700E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-44.600E-06,+723.618083E-03,-20.100502E-03,+37.085427E-03
-44.500E-06,+743.718585E-03,+0.0E+00,+37.286432E-03
-44.400E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-44.300E-06,+723.618083E-03,-10.050251E-03,+37.889447E-03
-44.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-44.100E-06,+783.919590E-03,+0.0E+00,+37.085427E-03
-44.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-43.900E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-43.800E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-43.700E-06,+804.020092E-03,+0.0E+00,+36.080402E-03
-43.600E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-43.500E-06,+743.718585E-03,+0.0E+00,+37.085427E-03
-43.400E-06,+804.020092E-03,-20.100502E-03,+37.487437E-03
-43.300E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
